wanikani	word	reading	sense 1	sense 2	sense 3	url
2	質す	ただす	to ask (about), to inquire, to enquire, to question, to make sure of			http://jisho.org/word/%E8%B3%AA%E3%81%99
3	外人	がいじん	foreigner (esp. one of European ancestry), gaijin	outsider	Gaijin	http://jisho.org/word/%E5%A4%96%E4%BA%BA
3	父	ちち	father			http://jisho.org/word/%E7%88%B6
3	母	はは	mother			http://jisho.org/word/%E6%AF%8D
3	外れ	はずれ	end, verge, extremity, tip, outskirts	miss, failure, blank (e.g. lottery ticket)		http://jisho.org/word/%E5%A4%96%E3%82%8C
3	１０代	じゅうだい	the teens (10-19), teenage	the tenth generation		http://jisho.org/word/%EF%BC%91%EF%BC%90%E4%BB%A3
3	市立	しりつ	municipal, city			http://jisho.org/word/%E5%B8%82%E7%AB%8B
3	１０万	じゅうまん	100,000, hundred thousand			http://jisho.org/word/%EF%BC%91%EF%BC%90%E4%B8%87
3	１万	いちまん	10,000, ten thousand			http://jisho.org/word/%EF%BC%91%E4%B8%87
3	一台	いちだい	one machine, one vehicle			http://jisho.org/word/%E4%B8%80%E5%8F%B0
3	戸口	とぐち	door, doorway			http://jisho.org/word/%E6%88%B8%E5%8F%A3
3	アメリカ人	アメリカじん	American person			http://jisho.org/word/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E4%BA%BA
3	フランス人	フランスじん	Frenchman, Frenchwoman	French people		http://jisho.org/word/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BA%BA
3	ビー玉	ビーだま	marble, glass marble	Marble (toy)		http://jisho.org/word/%E3%83%93%E3%83%BC%E7%8E%89
4	休日	きゅうじつ	holiday, day off	Vacation		http://jisho.org/word/%E4%BC%91%E6%97%A5
4	子牛	こうし	calf	small cow	Kouji	http://jisho.org/word/%E5%AD%90%E7%89%9B
4	主人	しゅじん	head (of a household), proprietor (of a store), proprietress, landlord, landlady	one's husband	(one's) employer, (one's) master	http://jisho.org/word/%E4%B8%BB%E4%BA%BA
4	村人	むらびと	villager			http://jisho.org/word/%E6%9D%91%E4%BA%BA
4	１００万	ひゃくまん	1,000,000, one million, million	many		http://jisho.org/word/%EF%BC%91%EF%BC%90%EF%BC%90%E4%B8%87
4	左手	ひだりて	left hand	left-hand side, left-hand direction, (on) the left		http://jisho.org/word/%E5%B7%A6%E6%89%8B
4	右手	みぎて	right hand	right-hand side, right-hand direction, (on) the right		http://jisho.org/word/%E5%8F%B3%E6%89%8B
4	４０	よんじゅう	forty, 40			http://jisho.org/word/%EF%BC%94%EF%BC%90
4	１年生	いちねんせい	first-year student, first-year pupil	beginner, novice, newcomer, person who has been in a role for less than a year	annual	http://jisho.org/word/%EF%BC%91%E5%B9%B4%E7%94%9F
4	２００	にひゃく	200, two hundred			http://jisho.org/word/%EF%BC%92%EF%BC%90%EF%BC%90
4	一打	いちだ	stroke, blow			http://jisho.org/word/%E4%B8%80%E6%89%93
4	車内	しゃない	inside a car (train, bus, etc.)			http://jisho.org/word/%E8%BB%8A%E5%86%85
4	一代	いちだい	generation, lifetime, age			http://jisho.org/word/%E4%B8%80%E4%BB%A3
4	休止	きゅうし	pause, suspension, rest, stoppage			http://jisho.org/word/%E4%BC%91%E6%AD%A2
4	年内	ねんない	by the end of the year			http://jisho.org/word/%E5%B9%B4%E5%86%85
